meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2025 FISU World University Games,49.11,17/07/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MORI, Takumi",M,05/11/2003,,,73,73,843,Berlin,GER
2025 Chinese National Championships (50m),49.12,20/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,74,74,842,Shenzhen,CHN
2025 Japan National Swimming Championships (50m),49.12,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MITSUNAGA, Shoon",M,28/06/2005,,,74,75,842,Tokyo,JPN
2025 China Spring National Championships (50m),49.12,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,74,76,842,Qingdao,CHN
2025 China National Championship (50m),49.13,08/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Shun",M,11/02/1994,,,77,77,842,Chengdu,CHN
2025 Japan National Swimming Championships (50m),49.13,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"HARA, Takaki",M,20/08/2003,,,77,78,842,Tokyo,JPN
2025 TYR Pro Swim Series - Westmont,49.14,06/03/2025,Men's 100m Freestyle LCM Male,SGP,Singapore,"LEE, Mikkel",M,12/12/2002,,,79,79,841,Westmont,USA
2025 Chinese National Championships (50m),49.15,20/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,80,80,841,Shenzhen,CHN
2025 Inter College Championships (50m),49.16,04/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"HARA, Takaki",M,20/08/2003,,,81,81,840,Tokyo,JPN
Berlin Swim Open,49.17,26/04/2025,Men's 100m Freestyle LCM Male,SGP,Singapore,"LEE, Mikkel",M,12/12/2002,,,82,82,840,Berlin,GER
2025 Queensland Championships (50m),49.18,15/12/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"YANG, Jaehoon",M,07/05/1998,,,83,83,839,Brisbane,AUS
2025 Japan Open (50m),49.18,29/11/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"KURODA, Kazusa",M,21/06/2007,,,83,84,839,Tokyo,JPN
79th Japan Games (50m),49.18,14/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MURASA, Tatsuya",M,27/03/2007,,,83,85,839,Kusatsu,JPN
11th Asian Aquatics Championships 2025 (50m),49.19,30/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,86,86,839,Ahmedabad,IND
55th Singapore National Age Group Swimming Championships,49.19,19/03/2025,Men's 100m Freestyle LCM Male,SGP,Singapore,"QUAH, Zheng Wen",M,29/09/1996,,,86,87,839,Singapore,SGP
2025 Chinese National Championships (50m),49.20,20/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,88,88,838,Shenzhen,CHN
2025 Chinese National Championships (50m),49.21,21/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,89,89,838,Shenzhen,CHN
